id,created_at,updated_at,nombre,imagen,proyecto_ley_id,activo,usermodifed,usercreated
2,2010/06/08 20:46:57,2010/06/08 20:46:57,"Ministro de Hacienda y Crédito Público, Oscar Iván Zuluaga",uploads/otros_autores/Oscar_Ivan_Zuluaga.jpg,NA,NA,NA,NA
3,2010/06/08 20:54:30,2010/07/15 19:31:24,"Ministra de Educación Nacional, Cecilia María Vélez White",uploads/otros_autores/ministra.jpg,NA,NA,NA,NA
4,2010/06/08 20:57:15,2010/06/08 20:57:15,"Ministro del Interior y de Justicia, Fabio Valencia Cossio",uploads/otros_autores/Fabio_Valencia_Cossio.jpg,NA,NA,NA,NA
5,2010/06/08 21:01:41,2010/06/08 21:01:41,"Ministro de la Protección Social, Diego Palacio Betancourt",uploads/otros_autores/Diego_Palacio_Betancurt.jpg,NA,NA,NA,NA
7,2010/06/08 21:41:16,2010/06/08 21:41:16,"Ministro de Transporte, Andrés Uriel Gallego",uploads/otros_autores/Andres_Uriel_Gallego.jpg,NA,NA,NA,NA
8,2010/06/08 21:48:08,2010/06/08 21:48:08,"Ministra de Tecnologías de la Información y las Comunicaciones, María del Rosario Guerra de la Espriella",uploads/otros_autores/MARIA_DEL_ROSARIO_GUERRA_thumb_1.JPG,NA,NA,NA,NA
90,2010/12/06 14:32:42,2010/12/06 14:32:42,"Viceministro de Minas y Energía, Tomás González",uploads/otros_autores/Tomas_Gonzalez.bmp,NA,NA,NA,NA
11,2010/06/24 21:57:54,2010/06/24 21:57:54,Iniciativa Popular,uploads/otros_autores/aprobacion_ley.jpg,NA,NA,NA,NA
6,2010/06/08 21:07:14,2010/06/08 21:07:14,"Viceministro de Justicia y del Derecho, Miguel Ceballos",uploads/otros_autores/Miguel_Ceballos.jpg,NA,NA,NA,NA
15,2010/06/25 13:07:58,2010/06/25 13:07:58,"Ministro de Comercio, Industria y Turismo, Luis Guillermo Plata",uploads/otros_autores/Luis_Guillermo_Plata-Comercio.jpg,NA,NA,NA,NA
16,2010/06/25 13:12:59,2010/06/25 13:12:59,"Ministro de Ambiente, Vivienda y Desarrollo Territorial, Juan Lozano Ramírez",uploads/otros_autores/juan_lozano.jpg,NA,NA,NA,NA
17,2010/06/25 22:32:17,2010/06/25 22:32:17,"Fiscal General de la Nación, (E) Guillermo Mendoza Diago",uploads/otros_autores/Fiscal_Guillermo_Mendoza_Diago.jpg,NA,NA,NA,NA
18,2010/06/28 18:46:17,2010/06/28 18:46:17,"Ministro de Defensa Nacional, Juan Manuel Santos",uploads/otros_autores/Juan_Manuel_Santos-Defensa.jpg,NA,NA,NA,NA
