id,created_at,updated_at,nombre,activo,usermodifed,usercreated
2,2010/06/08 20:46:57,2010/06/08 20:46:57,"Ministro de Hacienda y Crédito Público, Oscar Iván Zuluaga",NA,NA,NA
3,2010/06/08 20:54:30,2010/07/15 19:31:24,"Ministra de Educación Nacional, Cecilia María Vélez White",NA,NA,NA
4,2010/06/08 20:57:15,2010/06/08 20:57:15,"Ministro del Interior y de Justicia, Fabio Valencia Cossio",NA,NA,NA
5,2010/06/08 21:01:41,2010/06/08 21:01:41,"Ministro de la Protección Social, Diego Palacio Betancourt",NA,NA,NA
7,2010/06/08 21:41:16,2010/06/08 21:41:16,"Ministro de Transporte, Andrés Uriel Gallego",NA,NA,NA
8,2010/06/08 21:48:08,2010/06/08 21:48:08,"Ministra de Tecnologías de la Información y las Comunicaciones, María del Rosario Guerra de la Espriella",NA,NA,NA
90,2010/12/06 14:32:42,2010/12/06 14:32:42,"Viceministro de Minas y Energía, Tomás González",NA,NA,NA
11,2010/06/24 21:57:54,2010/06/24 21:57:54,Iniciativa Popular,NA,NA,NA
6,2010/06/08 21:07:14,2010/06/08 21:07:14,"Viceministro de Justicia y del Derecho, Miguel Ceballos",NA,NA,NA
15,2010/06/25 13:07:58,2010/06/25 13:07:58,"Ministro de Comercio, Industria y Turismo, Luis Guillermo Plata",NA,NA,NA
16,2010/06/25 13:12:59,2010/06/25 13:12:59,"Ministro de Ambiente, Vivienda y Desarrollo Territorial, Juan Lozano Ramírez",NA,NA,NA
17,2010/06/25 22:32:17,2010/06/25 22:32:17,"Fiscal General de la Nación, (E) Guillermo Mendoza Diago",NA,NA,NA
18,2010/06/28 18:46:17,2010/06/28 18:46:17,"Ministro de Defensa Nacional, Juan Manuel Santos",NA,NA,NA
10,2010/06/24 20:02:22,2010/06/24 20:02:22,"Procurador General de la Nación, Edgardo José Maya Villazón",NA,NA,NA
20,2010/06/28 20:15:41,2010/06/28 20:15:41,"Ministro de Defensa Nacional, Gabriel Silva Luján",NA,NA,NA
12,2010/06/24 22:15:21,2010/06/24 22:15:21,"Ministro de Agricultura y Desarrollo Rural, Andrés Fernández",NA,NA,NA
43,2010/07/10 23:20:38,2010/07/10 23:20:38,"Viceministra de Hacienda y Crédito Público, Gloria Inés Cortés Arango",NA,NA,NA
22,2010/06/29 15:42:32,2010/06/29 15:42:32,"Contralor General de la Nación, Julio César Turbay Quintero",NA,NA,NA
23,2010/06/29 20:39:36,2010/06/29 20:43:02,"Ministro de Relaciones Exteriores, Guillermo Fernández de Soto",NA,NA,NA
13,2010/06/24 22:15:43,2010/07/10 16:58:55,"Ministro de Agricultura y Desarrollo Rural, Andrés Felipe Arias Leiva",NA,NA,NA
24,2010/06/29 20:40:20,2010/06/29 20:42:46,"Ministra de Comercio Exterior, Marta Lucía Ramírez",NA,NA,NA
26,2010/06/29 23:14:03,2010/06/29 23:15:58,"Ministra de Relaciones Exteriores, Carolina Barco Isackson",NA,NA,NA
30,2010/06/30 21:21:50,2010/08/18 16:31:53,"Presidente Consejo de Estado, Ramiro Saavedra Becerra",NA,NA,NA
31,2010/07/01 20:38:45,2010/07/01 20:38:45,"Ministra de Relaciones Exteriores, María Emma Mejía Vélez",NA,NA,NA
28,2010/06/30 21:20:31,2010/06/30 21:20:31,"Fiscal General de la Nación, Mario Iguarán Arana",NA,NA,NA
29,2010/06/30 21:21:31,2010/06/30 21:21:31,"Presidente Corte Suprema de Justicia, Yesid Ramírez Bastidas",NA,NA,NA
32,2010/07/07 15:41:26,2010/07/07 15:41:26,"Ministro del Interior y de Justicia, Carlos Holguín Sardi",NA,NA,NA
33,2010/07/07 16:19:14,2010/07/07 16:19:14,"Ministro de Comercio, Industria y Turismo, Jorge Humberto Botero",NA,NA,NA
34,2010/07/07 16:49:33,2010/07/07 16:49:33,"Ministro de Relaciones Exteriores, María Consuelo Araújo Castro",NA,NA,NA
52,2010/08/18 16:35:47,2012/08/02 18:42:32,"Ministro de Hacienda y Crédito Público, Juan Carlos Echeverry",NA,NA,NA
36,2010/07/07 17:20:54,2010/07/07 17:20:54,"Ministro de Relaciones Exteriores, Fernando Araújo Perdomo",NA,NA,NA
37,2010/07/07 17:34:53,2010/07/07 17:34:53,"Ministra de Cultura, Elvira Cuervo de Jaramillo",NA,NA,NA
38,2010/07/07 17:46:53,2010/07/07 17:46:53,"Ministro de Minas y Energía, Luis Ernesto Mejía Castro",NA,NA,NA
39,2010/07/07 17:59:19,2010/07/07 17:59:19,"Ministra de Ambiente, Vivienda y Desarrollo Territorial, Sandra Suárez Pérez",NA,NA,NA
21,2010/06/28 21:57:22,2010/07/07 19:26:35,"Ministro del Interior y de Justicia, Sabas Pretelt de la Vega",NA,NA,NA
40,2010/07/09 14:43:46,2010/07/09 14:43:46,"Viceministro de Agricultura y Desarrollo Rural, Juan Camilo Salazar Rueda",NA,NA,NA
41,2010/07/09 20:50:33,2010/07/09 20:50:33,"Defensor del Pueblo, Volmar Pérez Ortiz",NA,NA,NA
42,2010/07/10 23:17:25,2010/07/10 23:17:25,"Viceministro de Relaciones Exteriores, Camilo Reyes Rodríguez",NA,NA,NA
44,2010/07/11 23:42:16,2010/07/11 23:42:16,"Presidente del Consejo Superior de la Judicatura, José Alfredo Escobar Araujo",NA,NA,NA
45,2010/07/13 20:58:08,2010/07/13 20:58:08,"Viceministra de Medio Ambiente, Claudia Patricia Mora Pineda",NA,NA,NA
35,2010/07/07 17:04:04,2010/07/13 21:28:15,"Viceministra de Cultura, María Cecilia Donado García",NA,NA,NA
46,2010/07/14 17:17:46,2010/07/14 17:17:46,"Presidenta Consejo Nacional Electoral, Clelia América Sánchez de Alfonso",NA,NA,NA
