id,nombre
1,Acuicola y Pesquero
2,Agricola
3,Agroindustria
5,Artesanias y Regalos
4,"Articulos de hogar, oficina, hoteles y hospitales"
6,Articulos Industriales
7,Audiovisuales
8,Autopartes
9,Calzado
10,Courriers
11,Cuero y Manufacturas de cuero
12,Editorial e Industria Grafica
13,Educacion y Conocimiento
14,Envases  y Empaques
15,Farmaceuticos
16,Flores y Plantas Vivas
17,Ingenieria y Servicios de Construccion
18,Instrumentos y Aparatos
19,Joyeria y Piedras Preciosas
20,Juguetes y Articulos Promocionales
21,Licores
22,Materiales de Construccion
23,Metalmecanica
24,Minerales
25,Muebles y Maderas
26,Otros Servicios
27,Papel y Carton
28,Pecuario
29,Plastico y Caucho
30,Quimicos
31,Servicios de Salud
32,Servicios Turisticos
33,Software
34,Textiles y Confecciones
35,Vehiculos y otros medios de transporte
36,Estatal
37,Telecomunicaciones
38,Medio Ambiente
