id,numero_sentencia,anio,sentencia_id
1,CSJ139,1991,32
2,C560,1992,79
3,C574,1992,109
4,C005,1992,115
5,C592,1992,124
6,C133,1993,144
7,C04,1993,148
8,C025,1993,153
9,C149,1993,158
10,SC131,1993,166
11,C599,1992,167
12,C094,1993,170
13,C176,1993,186
14,C333,1993,194
15,C053,1993,201
16,C150,1993,201
17,C065,1993,208
18,C094,1993,216
19,C456,1993,235
20,C107,1991,248
21,C110,1991,248
22,C301,1993,263
23,C544,1993,284
24,CSJ,1990,290
25,C568,1993,302
26,C127,1993,308
27,C70,1994,309
28,C022,1993,317
29,C041,1994,325
30,C152,1994,330
31,C544,1993,333
32,C027,1993,344
33,C241,1994,352
34,C252,1994,358
35,C542,1993,362
36,C565,1993,362
37,C069,1994,362
38,C109,1994,366
39,C022,1994,371
40,C086,1994,377
41,C093,1994,379
42,C311,1994,384
43,C387,1994,417
44,C013,1993,436
45,C071,1994,436
46,C475,1994,438
47,C424,1994,441
48,C424,1994,442
49,C408,1994,444
50,C409,1994,454
51,C474,1994,460
52,C558,1994,474
53,C335,1994,476
54,C425,1994,477
55,C565,1993,482
56,C408,1994,483
57,C211,1994,484
58,C409,1994,486
59,C408,1994,494
60,C409,1994,496
61,CSJ115,1991,505
62,C473,1994,505
63,C455,1994,507
64,C409,1994,515
65,C110,1994,517
66,C071,1995,526
67,C520,1994,530
68,C151,1995,530
69,C408,1994,538
70,C194,1995,546
71,C194,1995,547
72,C541,1992,558
73,C425,1994,566
74,C562,1994,566
75,C055,1995,566
76,C506,1994,575
77,C306,1995,578
78,C280,1995,579
79,C129,1995,584
80,C349,1995,590
81,C374,1995,599
82,C231,1995,602
83,C255,1995,623
84,C028,1995,632
85,C211,1994,632
86,C034,1994,632
87,C129,1995,634
88,C231,1995,634
89,C407,1995,637
90,C108,1995,659
91,C166,1995,660
92,C114,1993,678
93,CSJ109,1991,696
94,C531,1995,713
95,C484,1995,714
96,C390,1993,720
97,C032,1996,736
98,C049,1996,748
99,C525,1995,750
100,C549,1995,775
101,C255,1995,777
102,C587,1995,779
103,C070,1996,780
104,C525,1995,782
105,C082,1996,783
106,C345,1995,788
107,C049,1996,819
108,C049,1996,824
109,C082,9999,825
110,C082,1996,827
111,C307,1996,867
112,C253,1996,868
113,C318,1996,868
114,C119,1996,887
115,C309,1996,919
116,C093,1993,924
117,C442,1996,933
118,C429,1996,935
119,C490,1996,965
120,C093,1993,978
121,C307,1996,984
122,C426,1996,984
123,C244,1996,995
124,C508,1996,1006
125,C280,1996,1008
126,C142,1993,1012
127,C280,1996,1019
128,C486,1993,1024
129,C563,1996,1028
130,C583,1996,1030
131,C387,1996,1044
132,C494,1996,1055
133,C567,1995,1059
134,C430,1996,1068
135,C430,1996,1075
136,C626,1996,1075
137,C430,1996,1084
138,C626,1996,1084
139,C473,1994,1085
140,C395,1996,1087
141,C528,1996,1089
142,C511,1996,1093
143,C494,1996,1099
144,C508,1996,1100
145,C619,1996,1101
146,C011,1997,1102
147,C122,1997,1108
148,C122,1997,1115
149,C594,1996,1134
150,CSJ107,1991,1137
151,CSJ110,1991,1137
152,C049,1997,1146
153,C180,1997,1156
154,C105,1997,1159
155,C087,1997,1160
156,C013,1997,1161
157,C564,1996,1173
158,C152,1997,1175
159,C689,1996,1181
160,C198,1997,1181
161,C180,1997,1182
162,C407,1995,1184
163,C054,1997,1191
164,C087,1997,1193
165,C053,1997,1197
166,C211,1997,1199
167,C407,1995,1213
168,C468,1995,1213
169,C256,1997,1213
170,C256,1997,1216
171,C353,1997,1216
172,C310,1997,1224
173,C374,1997,1239
174,C327,1997,1247
175,C374,1997,1273
176,C446,1995,1279
177,C469,1997,1284
178,C350,1997,1290
179,C597,1996,1291
180,C473,1994,1295
181,C450,1995,1295
182,C505,1995,1295
183,C490,1997,1298
184,C445,1995,1301
185,C562,1997,1305
186,C350,1997,1309
187,C445,1997,1309
188,C428,1997,1315
189,CSJ134,1991,1316
190,C428,1997,1317
191,C410,1997,1321
192,C569,1993,1324
193,C428,1997,1330
194,C350,1997,1331
195,C448,1997,1332
196,C490,1997,1333
197,C428,1997,1364
198,C428,1997,1378
199,C408,1994,1381
200,C168,1995,1385
201,C548,1997,1386
202,C428,1997,1388
203,CSJ134,1991,1399
204,C089,1998,1423
205,C157,1998,1425
206,C604,1997,1436
207,C157,1998,1439
208,C598,1997,1455
209,C187,1997,1456
210,C270,1998,1471
211,C497A,1994,1479
212,C232,1998,1485
213,C402,1998,1510
214,C367,1996,1513
215,C479,1998,1532
216,C404,1998,1535
217,C157,1998,1547
218,C592,1998,1549
219,C663,1996,1555
220,C112,1998,1555
221,C483,1998,1590
222,C279,1996,1605
223,C067,1999,1620
224,C048,1997,1623
225,C067,1999,1626
226,C067,1999,1629
227,C183,1999,1669
228,C160,1999,1678
229,C247,1997,1685
230,C160,1999,1686
231,C247,1999,1686
232,C134,1991,1698
233,C520,1997,1711
234,CSJ122,1991,1713
235,C368,1999,1719
236,C196,1999,1722
237,C247,1999,1724
238,C383,1999,1739
239,C372,1999,1740
240,C368,1999,1751
241,CSJ110,1991,1777
242,C141,1998,1780
243,C196,1999,1780
244,C595,1999,1781
245,C644,1999,1788
246,C644,1999,1794
247,C247,1999,1804
248,C372,1999,1811
249,C517,1999,1817
250,C505,1999,1822
251,C601,1996,1840
252,C870A,1999,1848
253,C918,1999,1849
254,C702,1999,1850
255,C923,1999,1851
256,C923,1999,1855
257,C923,1999,1856
258,C923,1999,1858
259,C923,1999,1860
260,C923,1999,1861
261,C923,1999,1868
262,C674,1999,1869
263,C923,1999,1870
264,C918,1999,1872
265,C923,1999,1872
266,C948,1999,1872
267,C702,1999,1878
268,C923,1999,1879
269,C923,1999,1880
270,C923,1999,1881
271,C923,1999,1882
272,C969,1999,1883
273,C644,1999,1889
274,C923,1999,1890
275,C920,1999,1892
276,C969,1999,1892
277,C923,1999,1896
278,C870,1999,1897
279,C923,1999,1898
280,C702,1999,1904
281,C969,1999,1913
282,C923,1999,1914
283,C969,1999,1915
284,C923,1999,1915
285,C969,1999,1931
286,C923,1999,1932
287,C708,1999,1938
288,C923,1999,1964
289,C923,1999,1975
290,C923,1999,1979
291,C600,1998,1990
292,C711,1996,1994
293,C215,1994,2008
294,C711,1996,2010
295,C532,2000,2010
296,C291,2000,2016
297,C846,1999,2017
298,C384,2000,2022
299,C969,1999,2023
300,C408,1994,2039
301,C725,2000,2045
302,C384,2000,2049
303,C557,2000,2050
304,C408,1994,2055
305,C291,2000,2056
306,C604,2000,2056
307,C557,2000,2057
308,C392,2000,2062
309,C557,2000,2068
310,C527,2000,2070
311,C586,1992,2073
312,C557,2000,2078
313,C103,1994,2081
314,C797,2000,2092
315,C392,2000,2096
316,C557,2000,2107
317,C955,2000,2111
318,C1049,2000,2116
319,C1106,2000,2119
320,C955,2000,2134
321,C602,2000,2135
322,C636,2000,2140
323,C1185,2000,2149
324,C740,2000,2152
325,C568,1993,2159
326,C955,2000,2162
327,C1140,2000,2162
328,C392,2000,2170
329,C557,2000,2185
330,C1316,2000,2195
331,C1318,2000,2207
332,C955,2000,2211
333,C1140,2000,2211
334,C1403,2000,2231
335,C007,1996,2243
336,C316,1996,2243
337,C590,1995,2243
338,C1106,2000,2249
339,C955,2000,2250
340,C1316,2000,2266
341,C1185,2000,2276
342,C1316,2000,2279
343,C1316,2000,2280
344,CSJ122,1991,2285
345,C955,2000,2295
346,C1140,2000,2295
347,C415,1994,2299
348,C1185,2000,2299
349,C1316,2000,2300
350,C1403,2000,2301
351,C370,1999,2314
352,C085,1991,2326
353,C058,2001,2328
354,C1185,2000,2337
355,C622,1999,2346
356,C252,2001,2356
357,C252,2001,2357
358,C1106,2000,2363
359,C177,2001,2366
360,C1403,2000,2367
361,C364,2001,2375
362,C429,2000,2378
363,C151,1995,2385
364,C1711,2000,2404
365,C430,1997,2407
366,C582,2001,2417
367,C540,2001,2419
368,C501,2001,2423
369,C1189,2000,2426
370,C620,2001,2436
371,C177,2001,2442
372,C087,2001,2445
373,C760,2001,2464
374,C384,1996,2474
375,C343,1996,2474
376,C837,2001,2501
377,C540,2001,2501
378,C737,2001,2508
379,C837,2001,2512
380,C806,2001,2513
381,C780,2001,2519
382,C757,2001,2530
383,C407,1994,2533
384,C737,2001,2541
385,C837,2001,2544
386,C917,2001,2545
387,C893,2001,2547
388,C500,2001,2547
389,C540,2001,2551
390,C579,2001,2551
391,C952,2001,2552
392,C828,2001,2553
393,C540,2001,2556
394,C737,2001,2560
395,C992,2001,2572
396,C579,2001,2585
397,C1098,2001,2585
398,C893,2001,2611
399,C737,2001,2612
400,C760,2001,2618
401,C067,1999,2627
402,C992,2001,2628
403,C1064,2001,2635
404,C893,2001,2642
405,C1195,2001,2642
406,C1064,2001,2658
407,C678,1998,2664
408,C992,2001,2676
409,C1096,2001,2678
410,C702,1999,2680
411,C474,1994,2688
412,C011,1994,2697
413,C180,1994,2697
414,C007,2002,2700
415,C094,1993,2702
416,C1288,2001,2705
417,C158,2002,2708
418,C140,2001,2733
419,C392,2000,2744
420,C245,2002,2758
421,C233,2002,2770
422,C832,2001,2777
423,C290,2002,2779
424,C1191,2000,2779
425,C251,2002,2780
426,C372,2002,2782
427,C1195,2001,2785
428,C374,2002,2791
429,C773,1998,2796
430,C374,2002,2799
431,C063,2002,2804
432,C484,2000,2818
433,C492,2002,2823
434,C493,2002,2824
435,C251,2002,2826
436,C100,2001,2836
437,C430,2000,2836
438,C453,2002,2841
439,C251,2002,2842
440,C1107,2002,2843
441,C614,2002,2871
442,C687,2002,2883
443,C-618,2002,2885
444,C657,1996,2891
445,C227,2002,2893
446,C807,2002,2907
447,C618,2002,2909
448,C538,2002,2923
449,C227,2002,2923
450,C089,2001,2923
451,C069,1996,2925
452,C175,1996,2931
453,C064,2002,2935
454,C251,1996,2950
455,C489,1994,2973
456,C915,2002,2979
457,C1074,2002,2983
458,C599,1992,2994
459,C1076,2002,3002
460,C948,2002,3002
461,C1080,2002,3009
462,C762,2002,3017
463,C948,2002,3018
464,C143,2001,3018
465,C1076,2002,3018
466,C517,1999,3021
467,C617,2002,3026
468,C010,2003,3028
469,C1032,2002,3033
470,C1076,2002,3038
471,C705,2001,3043
472,C1032,2002,3045
473,C483,2002,3046
474,C272,1998,3049
475,C066,1997,3049
476,C444,1998,3049
477,C127,2003,3050
478,C757,2002,3058
479,C506,1999,3060
480,C361,2001,3074
481,C948,2002,3076
482,C501,2001,3094
483,C915,2002,3107
484,C313,2003,3120
485,C886,2002,3131
486,C355,2003,3138
487,C385,2003,3140
488,C155,2003,3151
489,C339,1996,3161
490,C097,2003,3177
491,C357,2003,3177
492,C078,2003,3182
493,C893,1999,3184
494,C450,2003,3189
495,C485,2003,3190
496,C127,2003,3197
497,C385,2003,3198
498,C690,2003,3199
499,C648,2002,3204
500,C355,2003,3211
501,C475,2003,3211
502,C801,2003,3219
503,C835,2003,3224
504,C019,1996,3237
505,C705,2002,3238
506,C574,2003,3239
507,C776,2003,3261
508,C690,2003,3263
509,C188,1999,3268
510,C428,2002,3268
511,C734,2000,3275
512,C574,2003,3276
513,C690,2003,3277
514,C1056,2003,3293
515,C1056,2003,3308
516,C835,2003,3308
517,C740,2003,3310
518,C692,2003,3313
519,C654,2003,3320
520,C1092,2003,3327
521,C1056,2003,3334
522,C799,2003,3335
523,C781,2003,3339
524,C1056,2003,3346
525,C1056,2003,3348
526,C1147,2003,3354
527,C1056,2003,3358
528,C016,2004,3362
529,C070,1993,3371
530,C056,1996,3371
531,C965,2003,3374
532,C835,2003,3387
533,C799,2003,3388
534,C038,2004,3396
535,C781,2003,3396
536,C801,2003,3396
537,C169,2004,3398
538,C1035,2003,3401
539,C1114,2003,3401
540,C835,2003,3420
541,C019,2004,3421
542,C311,2004,3434
543,C121,2004,3435
544,C1056,2003,3439
545,C305,2004,3440
546,C1095,2003,3441
547,C351,2004,3442
548,C100,2004,3452
549,C306,2004,3458
550,C038,2004,3462
551,C1060A,2001,3466
552,C311,2004,3467
553,C313,2004,3468
554,C311,2004,3470
555,C459,2004,3478
556,C432,2004,3479
557,C370,2004,3483
558,C121,2004,3488
559,C349,2004,3488
560,C306,2004,3488
561,C372,2004,3496
562,C311,2004,3511
563,C460,2004,3516
564,C348,2004,3519
565,C754,2004,3525
566,C754,2004,3533
567,C349,2004,3542
568,C670,2004,3544
569,C1092,2003,3546
570,C910,2004,3578
571,C623,2004,3583
572,C506,2001,3583
573,C227,2004,3583
574,C432,2004,3586
575,C993,2004,3587
576,C432,2004,3589
577,C997,2004,3595
578,C305,2004,3598
579,C504,2002,3600
580,C997,2004,3618
581,C1050,2004,3618
582,C991,2004,3619
583,C114,2004,3624
584,C1121,2004,3629
585,C1175,2004,3650
586,C1049,2004,3651
587,C1114,2004,3655
588,C194,2005,3678
589,C108,1994,3707
590,C501,2005,3713
591,C798,2003,3714
592,C501,2005,3727
593,C1025,2004,3738
594,C191,2005,3739
595,C593,2005,3743
596,C024,1994,3753
597,C194,2005,3763
598,C077,2004,3765
599,C332,2005,3766
600,C665,2005,3804
601,C979,2005,3810
602,CSJ,1974,3812
603,C1040,2004,3824
604,C1040,2005,3825
605,C1041,2005,3825
606,C1040,2005,3826
607,C1041,2005,3826
608,C1040,2005,3828
609,C1043,2005,3828
610,C1040,2005,3829
611,C1041,2005,3829
612,C1040,2005,3830
613,C1040,2005,3832
614,C1040,2005,3838
615,C1040,2005,3839
616,C1043,2005,3839
617,C244,1996,3847
618,C1083,2005,3861
619,C801,2005,3862
620,C822,2005,3867
621,C1040,2005,3893
622,C1043,2005,3893
623,C115,1991,3899
624,C046,2006,3906
625,C180,1994,3926
626,C1040,2005,3931
627,C1233,2005,3935
628,C940,2003,3937
629,C1713,2000,3948
630,C1192,2005,3950
631,C1040,2005,3954
632,C1119,2005,3955
633,C242,2006,3957
634,C1083,2005,3961
635,C1118,2005,3964
636,C41,2003,3969
637,C616,1996,3972
638,C370,2006,3985
639,C279,1996,3990
640,C370,2006,3992
641,C370,2006,3996
642,C046,2006,4003
643,C370,2006,4005
644,C046,2006,4010
645,C474,2006,4010
646,C319,2006,4014
647,C370,2006,4014
648,C849,2005,4021
649,C319,2006,4041
650,C370,2006,4041
651,C355,2006,4067
652,C823,2006,4069
653,C823,2006,4072
654,C823,2006,4073
655,C714,2006,4075
656,C544,2005,4108
657,C220,1996,4118
658,C989,2006,4125
659,C575,2006,4127
660,C555,1993,4132
661,C113,2007,4147
662,C123,2003,4158
663,C454,2000,4160
664,C1148,2003,4172
665,C211,2007,4174
666,C178,2007,4176
667,C178,2007,4177
668,C989,2006,4178
669,C211,2007,4179
670,C666,2006,4179
671,C311,2007,4183
672,C314,2007,4187
673,C277,2007,4188
674,C315,2007,4190
675,C741,1998,4192
676,C209,2007,4197
677,C209,2007,4198
678,C211,2007,4199
679,C290,2007,4199
680,C954,2000,4203
681,C137,2007,4214
682,C1024,2004,4241
683,C624,2007,4244
684,C553,2007,4253
685,C427,2002,4262
686,C393,2007,4264
687,C655,2007,4266
688,C722,2007,4270
689,C663,2007,4288
690,C389,2002,4290
691,C1000,2007,4326
692,C950,2007,4329
693,C117,2008,4340
694,C185,2008,4356
695,C030,2008,4357
696,C061,2008,4358
697,C038,2004,4363
698,C691,2007,4368
699,C884,2007,4372
700,C075,2007,4381
701,C811,2007,4381
702,C035,2008,4382
703,C290,2008,4386
704,C377,2008,4393
705,C318,2008,4397
706,C392,2000,4398
707,C376,2008,4401
708,C097,2001,4410
709,C593,1995,4413
710,C376,2008,4414
711,C245,2008,4418
712,C376,2008,4421
713,C377,2008,4421
714,C258,2008,4426
715,C797,2000,4429
716,C797,2000,4434
717,C617,2008,4434
718,C507,2008,4437
719,C567,2000,4439
720,C063,2008,4440
721,C662,1998,4441
722,C201,2002,4442
723,C465,2008,4444
724,C465,2008,4446
725,C271,1999,4446
726,C797,2000,4446
727,C260,2008,4447
728,C228,2008,4448
729,C797,2000,4449
730,C465,2008,4453
731,C466,2008,4453
732,C797,2000,4456
733,C337,2008,4458
734,C691,2008,4459
735,C567,2000,4460
736,C695,2008,4463
737,C617,2008,4463
738,C617,2008,4468
739,C465,2008,4468
740,C466,2008,4468
741,C061,2008,4471
742,C228,2008,4471
743,C757,2008,4484
744,C425,2008,4486
745,C624,2008,4491
746,C318,2008,4507
747,C248,1999,4509
748,C427,2008,4524
749,C714,2008,4525
750,C535,2008,4525
751,C756,2008,4529
752,C879,2008,4557
753,C1159,2008,4563
754,C544,1994,4569
755,C560,1996,4571
756,C879,2008,4581
757,C798,2008,4581
758,C025,2009,4607
759,C175,2009,4628
760,C175,2009,4629
761,C373,2002,4635
762,C175,2009,4662
763,C175,2009,4666
764,C177,2009,4670
765,C175,2009,4672
766,C339,2002,4682
767,C350,2009,4686
768,C014,2004,4690
769,C1198,2008,4692
770,C349,2009,4696
771,C588,2009,4718
772,C325,2009,4722
773,C428,2009,4735
774,C280,1995,4737
775,C588,2009,4744
776,C781,2003,4768
777,C1063,2008,4782
778,C588,2009,4788
779,C388,2000,4791
780,C409,2009,4795
781,C059,2010,4796
782,C493,2002,4797
783,C968,2003,4799
784,C037,1996,4801
785,C613,1996,4804
786,C182,1997,4804
787,C855,2009,4812
788,C181,2010,4813
789,C815,2009,4816
790,C040,2010,4832
791,C131,2009,4844
792,C073,2010,4845
793,C579,2001,4846
794,C432,2010,4863
795,C588,2009,4867
796,C1154,2008,4872
797,C551,2003,4874
798,C303,2010,4880
799,C403,2010,4881
800,C595,2010,4886
801,C568,2010,4890
802,C595,2010,4909
803,C403,2010,4918
804,C072,1994,4943
805,C551,2003,4959
806,C018,1993,4960
807,C1716,2000,4960
808,C595,2010,4961
809,C983,2010,4966
810,C979,2010,4969
811,C978,2010,4969
812,C384,2000,4970
813,C228,2009,4970
814,C055,2010,4980
815,C936,2010,4984
816,C174,9999,5034
817,C250,2011,5047
818,C928,2006,5050
819,C994,2001,5053
820,C507,2007,5065
821,C372,2011,5074
822,C740,2003,5078
823,C240,2011,5080
824,C371,2011,5080
825,C037,1996,5084
826,C438,2011,5085
827,C630,2011,5096
828,C630,2011,5108
829,C630,2011,5109
830,C275,1998,5110
831,C713,2008,5119
832,C019,1996,5127
833,C630,2011,5139
834,C730,2011,5139
835,C603,2011,5147
836,C822,2011,5148
837,C630,2011,5150
838,C730,2011,5150
839,C630,2011,5153
840,C730,2011,5153
841,C911,2011,5153
842,C878,2011,5157
843,C366,2011,5158
844,C598,2011,5160
845,C630,2011,5162
846,C822,2011,5165
847,C284,2011,5168
848,C250,2012,5194
849,C822,2011,5211
850,C249,2012,5212
851,C317,2012,5217
852,C332,2012,5229
853,C332,2012,5233
854,C332,2012,5235
855,C366,2012,5238
856,C332,2012,5239
857,C331,2012,5240
858,C332,2012,5243
859,C332,2012,5246
860,C332,2012,5247
861,C401,1998,5249
862,C366,2011,5250
863,C332,2012,5252
864,C332,2012,5254
865,C317,2012,5262
866,C076,2012,5267
867,C744,2012,5314
868,C744,2012,5322
869,c744,2012,5323
870,c572,2012,5338
871,C966,2012,5351
872,C715,2012,5356
873,C011,2013,5362
874,C012,2013,5364
875,C711,2012,5364
876,C011,2013,5370
877,C015,2013,5372
878,C011,2013,5384
879,C010,2013,5387
880,C1056,2012,5394
881,C1023,2012,5395
882,C105,2013,5400
883,C105,2013,5401
884,C1023,2012,5402
885,C1023,2012,5403
886,C105,2013,5414
887,C100,2013,5415
888,C-169,2001,5416
889,C249,2013,5421
890,C-157,2013,5423
891,C-781,2012,5424
892,C157,2013,5439
893,C279,2013,5439
894,C781,2012,5464
895,C280,2013,5464
896,C010,2013,5465
897,C473,2013,5476
898,C513,2013,5479
899,C624,2013,5508
900,C015,2013,5511
901,C740,2013,5514
902,C740,2013,5516
903,C533,2013,5527
904,C699,2013,5528
905,C699,2013,5535
906,C835,2013,5538
907,C740,2013,5542
908,C613,2013,5548
909,C851,2013,5564
910,C818,2011,5570
911,C037,1996,5580
912,C436,2013,5588
913,C179,2014,5592
914,C090,2014,5597
915,C180,2014,5602
916,C169,2014,5604
917,C169,2013,5612
918,C180,2014,5616
919,C286,2014,5616
920,C824,2013,5619
921,C083,2014,5634
922,C083,2014,5642
923,C368,2014,5648
924,C169,2014,5653
925,C028,2006,5654
926,C264,2014,5665
927,C169,2013,5666
928,C264,2014,5667
929,C554,2014,5667
930,C579,2013,5669
931,C506,2014,5679
932,C442,2011,5686
933,C489,2002,5686
934,C948,2014,5718
935,C034,2015,5730
936,C035,2015,5736
937,C948,2014,5737
938,C052,2015,5741
939,C052,2015,5750
940,C035,2015,5758
941,C881,2014,5778
942,C236,2010,5803
943,C351,1995,5819
944,C651,2015,5841
945,C726,2015,5864
946,C511,1994,5872
947,C191,2016,5925
948,C035,2016,5928
949,C026,2016,5929
950,C224,2016,5931
951,C221,2016,5950
952,C035,2016,5950
953,C272,2016,5950
954,C186,2016,5952
955,208,2016,5964
956,203,2016,5972
957,372,2016,5973
964,756,2013,5980
992,C636,2016,6067
993,286,2016,6068
994,C570,2016,6070
995,C750,2015,6071
996,646,2016,6072
997,C602,2016,6073
998,C636,2016,6074
999,C401,2016,6078
1000,658,2016,6080
1001,664,2016,6081
1002,C570,2016,6083
1003,C667,2016,6084
1004,C668,2016,6085
1005,003,2017,6087
1006,006,2017,6092
1007,045,2017,6095
1008,045,2017,6096
1009,093,2017,6100
1010,094,2017,6101
1012,C567,2016,6166
1013,C570,2016,6171
1014,C373,2016,6174
1015,C285,2016,6174
