id,nombre_completo,avatar
1,Jaime Sanín Greiffenstein,NA
2,Simón Rodríguez Rodríguez,NA
3,Ciro Angarita Barón,NA
4,Jorge Arango Mejía,NA
5,Hernando Herrera Vergara,NA
6,Eduardo Cifuentes,NA
7,Vladimiro Naranjo Mesa,NA
8,Antonio Barrera Carbonell,NA
9,Alejandro Martínez Caballero,NA
10,Fabio Morón Díaz,NA
11,José Gregorio Hernández Galindo,NA
12,Carlos Gaviria Díaz,NA
13,Luis Eduardo Montealegre Lynett,NA
14,Alfredo Beltrán Sierra,NA
15,Álvaro Tafur Galvis,NA
16,Rodrigo Escobar Gil,NA
17,Manuel José Cepeda Espinosa,NA
18,Jaime Córdoba Triviño,NA
19,Clara Inés Vargas Hernández,NA
20,Jaime Araujo Rentería,NA
21,Marco Gerardo Monroy Cabra,NA
22,Humberto Sierra Porto,NA
23,Nilson Pinilla Pinilla,NA
24,Rodrigo Uprimny Yépez,NA
25,Martha Victoria Sáchica de Moncaleano,NA
26,Carmenza Isaza de Gómez,NA
27,Julio César Ortiz Gutiérrez,NA
28,Cristina Pardo Schlessinger,NA
29,Jairo Charry Rivas.,NA
30,María Teresa Garcés Lloreda,NA
32,Mauricio González Cuervo,NA
33,Jorge Pretelt Chaljub,NA
34,Jorge Iván Palacio,NA
35,Luis Ernesto Vargas,NA
36,Gabriel Eduardo Mendoza,NA
37,Juan Carlos Henao,NA
38,Luis Guillermo Guerrero,NA
39,Alberto Rojas Ríos,NA
40,Catalina Botero Mariño,NA
41,Clara Elena Reales Gutiérrez,NA
999,No aplica,NA
31,María Victoria Calle,imgs/sentencias/presidente_corte/Maria_Victoria_Calle_Correa.jpg
42,Alejandro Linares Cantillo,NA
