id,nombre
1,Acuerdo/Canje de notas/Convención internacional/Convenio/etc.
2,Código Civil
3,Código Contencioso Administrativo
4,Código de Comercio
5,Código Penal
6,Código de Procedimiento Civil
7,Código de Procedimiento Penal
8,Código Sustantivo del Trabajo
9,Ley 100 de 1993
10,Ley 80 de 1993
11,Decreto
12,Ley
13,Acto Legislativo
14,Código Procesal Laboral
15,Código Disciplinario Único
16,Estatuto Tributario
17,Código Penal Militar
18,Estatuto del Consumidor
19,Código de la Infancia y la Adolescencia
20,Código General del Proceso
21,Código de Minas
22,Proyecto de Ley
99,No aplica
23,Ley ordinaria
24,Ley organica
25,Plan Nacional de Desarrollo
26,Código Nacional de Tránsito
27,Código de Policía
28,Acto legislativo
