id,agenda_legislativa,corporacion_id,comision_id,activo,usercreated,usermodifed,created_at,updated_at
1,12882,2,16579,NA,NA,NA,NA,NA
2,12881,1,16578,NA,NA,NA,NA,NA
3,12867,1,16576,NA,NA,NA,NA,NA
4,12866,2,16577,NA,NA,NA,NA,NA
5,12860,2,16558,NA,NA,NA,NA,NA
6,12854,2,16555,NA,NA,NA,NA,NA
7,12853,1,16554,NA,NA,NA,NA,NA
8,12852,2,16553,NA,NA,NA,NA,NA
9,12850,1,16552,NA,NA,NA,NA,NA
10,12849,2,16551,NA,NA,NA,NA,NA
11,12846,1,16550,NA,NA,NA,NA,NA
12,12845,2,16549,NA,NA,NA,NA,NA
13,12837,2,16548,NA,NA,NA,NA,NA
14,12835,1,16547,NA,NA,NA,NA,NA
15,12832,1,16546,NA,NA,NA,NA,NA
16,12831,2,16545,NA,NA,NA,NA,NA
17,12826,2,16544,NA,NA,NA,NA,NA
18,12825,1,16543,NA,NA,NA,NA,NA
19,12819,1,16542,NA,NA,NA,NA,NA
20,12818,2,16541,NA,NA,NA,NA,NA
21,12805,1,16539,NA,NA,NA,NA,NA
22,12801,2,16538,NA,NA,NA,NA,NA
23,12800,2,16536,NA,NA,NA,NA,NA
24,12798,1,16535,NA,NA,NA,NA,NA
25,12792,2,16533,NA,NA,NA,NA,NA
26,12788,1,16531,NA,NA,NA,NA,NA
27,12788,2,16532,NA,NA,NA,NA,NA
28,12787,1,16529,NA,NA,NA,NA,NA
29,12787,2,16530,NA,NA,NA,NA,NA
30,12785,1,16520,NA,NA,NA,NA,NA
31,12770,2,16518,NA,NA,NA,NA,NA
32,12767,2,16516,NA,NA,NA,NA,NA
33,12762,1,16515,NA,NA,NA,NA,NA
34,12755,2,16514,NA,NA,NA,NA,NA
35,12734,2,16512,NA,NA,NA,NA,NA
36,12732,1,16511,NA,NA,NA,NA,NA
37,12728,2,16510,NA,NA,NA,NA,NA
38,12720,1,16509,NA,NA,NA,NA,NA
39,12718,2,16507,NA,NA,NA,NA,NA
40,12712,1,16513,NA,NA,NA,NA,NA
41,12699,2,16502,NA,NA,NA,NA,NA
42,12696,1,16500,NA,NA,NA,NA,NA
43,12689,2,16498,NA,NA,NA,NA,NA
44,12683,1,16499,NA,NA,NA,NA,NA
45,12671,2,16494,NA,NA,NA,NA,NA
46,12668,2,16490,NA,NA,NA,NA,NA
47,12663,2,16489,NA,NA,NA,NA,NA
48,12661,1,16488,NA,NA,NA,NA,NA
49,12660,2,16485,NA,NA,NA,NA,NA
50,12659,2,16483,NA,NA,NA,NA,NA
51,12643,2,16479,NA,NA,NA,NA,NA
52,12636,2,16478,NA,NA,NA,NA,NA
53,12629,1,16476,NA,NA,NA,NA,NA
54,12622,2,16474,NA,NA,NA,NA,NA
55,12606,2,16469,NA,NA,NA,NA,NA
56,12601,2,16465,NA,NA,NA,NA,NA
57,12596,1,16462,NA,NA,NA,NA,NA
58,12584,2,16459,NA,NA,NA,NA,NA
59,12583,2,16458,NA,NA,NA,NA,NA
60,12582,1,16457,NA,NA,NA,NA,NA
61,12581,1,16456,NA,NA,NA,NA,NA
62,12571,2,16455,NA,NA,NA,NA,NA
63,12564,1,16454,NA,NA,NA,NA,NA
64,12561,2,16453,NA,NA,NA,NA,NA
65,12558,1,16451,NA,NA,NA,NA,NA
66,12556,2,16446,NA,NA,NA,NA,NA
67,12550,2,16444,NA,NA,NA,NA,NA
68,12522,2,16430,NA,NA,NA,NA,NA
69,12514,1,16428,NA,NA,NA,NA,NA
70,12508,2,16426,NA,NA,NA,NA,NA
71,12502,2,16425,NA,NA,NA,NA,NA
72,12499,1,16423,NA,NA,NA,NA,NA
73,12496,2,16422,NA,NA,NA,NA,NA
74,12488,2,16421,NA,NA,NA,NA,NA
75,12471,2,16418,NA,NA,NA,NA,NA
76,12465,1,16417,NA,NA,NA,NA,NA
77,12457,2,16416,NA,NA,NA,NA,NA
78,12453,1,16415,NA,NA,NA,NA,NA
79,12451,2,16414,NA,NA,NA,NA,NA
80,12445,2,16411,NA,NA,NA,NA,NA
81,12438,1,16412,NA,NA,NA,NA,NA
82,12430,2,16396,NA,NA,NA,NA,NA
83,12427,2,16395,NA,NA,NA,NA,NA
