id,created_at,updated_at,nombres,apellidos,fechaNacimiento,municipio_nacimiento_id,grado_estudios,profesion_id,genero_id,fecha_fallecimiento
2548,2010/05/05 02:31:04,2010/05/05 02:37:00,Victor,Alvarez,NA,NA,NA,NA,NA,NA
1325,2010/01/18 22:10:15,2010/09/13 14:07:40,German,Avellaneda Ballen,NA,86,NA,NA,NA,NA
3925,2011/05/30 15:20:31,2011/07/26 16:01:08,Francisco,Álvarez,NA,NA,NA,NA,NA,NA
2922,2010/08/31 22:18:07,2010/12/16 19:13:02,Carolina,Saldarriaga,NA,NA,NA,NA,NA,NA
2924,2010/09/02 22:06:59,2010/09/02 22:16:05,Edgar David,Mayordomo Tavera,1988-04-14,86,NA,NA,NA,NA
1492,2010/01/26 21:06:04,2013/11/15 14:14:45,Myriam,Pulido Oviedo,NA,107,Po,184,2,NA
1536,2010/01/27 16:52:58,2013/11/15 14:14:46,Luis Carlos,Robayo,NA,NA,NA,NA,1,NA
280,2010/01/10 23:01:09,2013/11/15 14:14:50,Emel,Rojas Castillo,NA,NA,U,NA,1,NA
274,2010/01/10 21:59:02,2013/11/15 14:14:52,Wilson Benjamin,Rey,NA,NA,NA,NA,1,NA
1914,2010/02/05 17:51:12,2013/11/15 14:15:03,Segundo Noe,Viancha Viancha,NA,NA,NA,NA,1,NA
272,2010/01/10 20:34:53,2013/11/15 14:15:20,Juan Camilo,Montes Pineda,NA,NA,U,NA,1,NA
7162,2013/11/08 21:37:27,2013/11/08 21:43:58,David Alejandro,Martinez Becerra,NA,1,NA,NA,NA,NA
9973,2014/06/09 19:00:21,2014/06/09 19:08:19,Harold,Díaz,NA,NA,NA,NA,NA,NA
9972,2014/06/09 15:25:59,2014/08/05 10:57:49,Jaime,Alejandro Amin,NA,NA,NA,NA,NA,NA
6997,2013/09/12 19:21:09,2013/12/27 22:47:52,Alexis,Diaz,NA,NA,NA,NA,NA,NA
1556,2010/01/27 18:45:47,2014/07/18 10:03:38,Claudia Patricia,Lascarro Torres,NA,NA,NA,NA,2,NA
2992,2010/09/17 20:42:51,2010/11/02 22:07:23,Clara,López Obregón,NA,NA,NA,NA,NA,NA
271,2010/01/10 19:39:27,2018/01/22 16:10:23,Pierre,Onzaga Ramirez,NA,NA,U,NA,1,NA
1935,2010/02/05 19:39:04,2018/01/23 20:00:12,Wilson,Arango Florez,NA,NA,NA,NA,1,NA
294,2010/01/12 18:23:08,2018/01/29 15:52:28,Manuel Tomas,Sarabia Cassiani,NA,5,U,174,1,NA
276,2010/01/10 22:17:38,2017/08/22 16:55:48,Andres Felipe,Guerra Hoyos,NA,NA,U,NA,1,NA
292,2010/01/12 03:01:02,2018/01/19 20:40:28,Armando,Vanegas Garzon,1968-10-04,4,NA,209,1,NA
1991,2010/02/08 17:05:35,2018/01/23 13:51:18,Henry,Molina Mendez,NA,NA,NA,NA,1,NA
12717,2018/01/26 21:43:16,2018/03/01 20:14:03,Manuel Arturo,Tellez Osorio,NA,NA,TE,221,1,NA
1936,2010/02/05 19:40:56,2018/01/22 16:44:56,Felix Alberto,Garcia Uribe,NA,NA,NA,NA,1,NA
287,2010/01/11 18:10:03,2018/01/22 16:47:21,William,Garcia Fayad,NA,NA,U,NA,1,NA
1528,2010/01/27 16:38:58,2018/01/22 17:50:13,Luis Eduardo,Tobon Cardona,NA,NA,NA,NA,1,NA
